image_id,path,class_folder,display_name,label,source,partition
RottenApple_181,data/primary/RottenApple/RottenApple (181).jpg,RottenApple,Rotten,2,primary,test
RottenApple_248,data/primary/RottenApple/RottenApple (248).jpg,RottenApple,Rotten,2,primary,test
RottenApple_288,data/primary/RottenApple/RottenApple (288).jpg,RottenApple,Rotten,2,primary,test
RottenApple_291,data/primary/RottenApple/RottenApple (291).jpg,RottenApple,Rotten,2,primary,test
RottenApple_37,data/primary/RottenApple/RottenApple (37).jpg,RottenApple,Rotten,2,primary,test
RottenApple_373,data/primary/RottenApple/RottenApple (373).jpg,RottenApple,Rotten,2,primary,test
RottenApple_384,data/primary/RottenApple/RottenApple (384).jpg,RottenApple,Rotten,2,primary,test
RottenApple_446,data/primary/RottenApple/RottenApple (446).jpg,RottenApple,Rotten,2,primary,test
RottenApple_508,data/primary/RottenApple/RottenApple (508).jpg,RottenApple,Rotten,2,primary,test
RottenApple_515,data/primary/RottenApple/RottenApple (515).jpg,RottenApple,Rotten,2,primary,test
RottenApple_555,data/primary/RottenApple/RottenApple (555).jpg,RottenApple,Rotten,2,primary,test
RottenApple_581,data/primary/RottenApple/RottenApple (581).jpg,RottenApple,Rotten,2,primary,test
RottenApple_604,data/primary/RottenApple/RottenApple (604).jpg,RottenApple,Rotten,2,primary,test
RottenApple_630,data/primary/RottenApple/RottenApple (630).jpg,RottenApple,Rotten,2,primary,test
RottenApple_642,data/primary/RottenApple/RottenApple (642).jpg,RottenApple,Rotten,2,primary,test
RottenApple_670,data/primary/RottenApple/RottenApple (670).jpg,RottenApple,Rotten,2,primary,test
RottenApple_693,data/primary/RottenApple/RottenApple (693).jpg,RottenApple,Rotten,2,primary,test
RottenApple_712,data/primary/RottenApple/RottenApple (712).jpg,RottenApple,Rotten,2,primary,test
RottenApple_735,data/primary/RottenApple/RottenApple (735).jpg,RottenApple,Rotten,2,primary,test
